oldvar,RPP.LANDCLIMII
Diphasium complanatum-type,zz.do not use
Diphasium tristachyum,zz.do not use
Diphasium-type,zz.do not use
Diporotheca,zz.do not use
DIPOROTHECA,zz.do not use
Diporotheca,zz.do not use
Dipsacac,zz.do not use
Dipsacacea,zz.do not use
DIPSACACEA,zz.do not use
Dipsacaceae,zz.do not use
dipsacaceae,zz.do not use
DIPSACACEAE,zz.do not use
Dipsacaceae,zz.do not use
DIPSACACEAE,zz.do not use
Dipsacaceae odiff. (obest. väddväxter),zz.do not use
Dipsacaceae ospec. - obest. väddväxter,zz.do not use
Dipsacaceae p.p.,zz.do not use
Dipsacaceae udiff.,zz.do not use
Dipsacaceae undiff.,zz.do not use
Dipsaceae indeterminata,zz.do not use
Dipsacus,zz.do not use
Dipsacus fullonum type,zz.do not use
Dipsacus fullonum-type,zz.do not use
Dipsacus type,zz.do not use
"Dipsacus, Cephalaria",zz.do not use
Dipsacus-type,zz.do not use
Dipsacus-type,zz.do not use
Dodonaea,zz.do not use
Doronicum,zz.do not use
Dorycnium,zz.do not use
Dorycnium-type,zz.do not use
Draba type,zz.do not use
DROS_RO_AN,zz.do not use
Drosera,zz.do not use
drosera,zz.do not use
DROSERA,zz.do not use
Drosera,zz.do not use
Drosera ,zz.do not use
Drosera anglica,zz.do not use
Drosera anglica-type,zz.do not use
Drosera cf. D. rotundifolia,zz.do not use
Drosera indet.,zz.do not use
Drosera intermedia,zz.do not use
DROSERA INTERMEDIA,zz.do not use
Drosera intermedia                      ,zz.do not use
Drosera intermedia - småsileshår,zz.do not use
Drosera intermedia rå,zz.do not use
Drosera intermedia-type,zz.do not use
Drosera longifolia,zz.do not use
Drosera rå,zz.do not use
Drosera rotundiflora,zz.do not use
Drosera rotundiflora-type,zz.do not use
Drosera rotundifolia,zz.do not use
Drosera rotundifolia  ,zz.do not use
Drosera rotundifolia - rundsileshår,zz.do not use
Drosera rotundifolia rå,zz.do not use
Drosera Rotundifolia rå,zz.do not use
DROSERA ROTUNDIFOLIA/ANGLICA,zz.do not use
Drosera rotundifolia/D. anglica,zz.do not use
Drosera rotundifolia/D.anglica,zz.do not use
Drosera rotundifolia-Typ,zz.do not use
Drosera rotundifolia-type,zz.do not use
Drosera rotundifolia-type,zz.do not use
Drosera rotundifolia-type               ,zz.do not use
Drosera type,zz.do not use
DROSERA TYPE,zz.do not use
Drosera undiff.,zz.do not use
Droseracea,zz.do not use
Droseraceae,zz.do not use
Drossera,zz.do not use
Dry density,zz.do not use
Dry pastures,zz.do not use
"dry pastures, health and alvar vegetation",zz.do not use
DRY_CRIST,zz.do not use
DRY_FIL_MA,zz.do not use
Dryas,zz.do not use
dryas,zz.do not use
DRYAS,zz.do not use
DRYAS   ,zz.do not use
Dryas octapetala,zz.do not use
Dryas octopetala,zz.do not use
Dryas type,zz.do not use
dryas type,zz.do not use
Dryas_octo,zz.do not use
Dryas-type,zz.do not use
Dryop. crist. T.,zz.do not use
Dryopt. f-mas t.,zz.do not use
Dryopter,zz.do not use
Dryopter_1,zz.do not use
Dryopteri,zz.do not use
Dryopteridaceae,zz.do not use
Dryopteris,zz.do not use
DRYOPTERIS,zz.do not use
dryopteris,zz.do not use
Dryopteris,zz.do not use
Dryopteris austriaca,zz.do not use
Dryopteris carthusiana,zz.do not use
Dryopteris carthusiana -t.,zz.do not use
dryopteris carthusiana type,zz.do not use
DRYOPTERIS CARTHUSIANA-T.,zz.do not use
Dryopteris carthusiana-type,zz.do not use
Dryopteris cristata,zz.do not use
Dryopteris cristata ,zz.do not use
Dryopteris cristata type,zz.do not use
Dryopteris cristata ,zz.do not use
Dryopteris cristata-Typ,zz.do not use
"Dryopteris cristata-typ - granbräken, skogsbräken",zz.do not use
Dryopteris cristata-type,zz.do not use
Dryopteris dilatata,zz.do not use
dryopteris dilatata,zz.do not use
Dryopteris diliatata,zz.do not use
Dryopteris dilitata,zz.do not use
Dryopteris felix mas,zz.do not use
dryopteris felix mas type,zz.do not use
Dryopteris felix-mas,zz.do not use
Dryopteris felix-mas-type,zz.do not use
dryopteris filix mas type,zz.do not use
Dryopteris filix mas-type,zz.do not use
Dryopteris filix-femina,zz.do not use
Dryopteris filix-mas,zz.do not use
dryopteris filix-mas,zz.do not use
DRYOPTERIS FILIX-MAS,zz.do not use
Dryopteris filix-mas ,zz.do not use
Dryopteris filix-mas                    ,zz.do not use
Dryopteris filix-mas -t.,zz.do not use
Dryopteris filix-mas type,zz.do not use
Dryopteris filix-mas ,zz.do not use
DRYOPTERIS FILIX-MAS-T.,zz.do not use
Dryopteris filix-mas-Typ,zz.do not use
Dryopteris filix-mas-typ - träjon m.fl.,zz.do not use
Dryopteris filix-mas-typ - träjon mm,zz.do not use
Dryopteris filix-mas-type,zz.do not use
Dryopteris filix-mas-type,zz.do not use
Dryopteris linnaeana,zz.do not use
DRYOPTERIS SPINULOSA,zz.do not use
Dryopteris spinulosa,zz.do not use
Dryopteris spinulosa-type,zz.do not use
Dryopteris T.,zz.do not use
Dryopteris -t.,zz.do not use
Dryopteris thelipteris,zz.do not use
Dryopteris thelypteris,zz.do not use
Dryopteris type,zz.do not use
dryopteris type,zz.do not use
DRYOPTERIS TYPE,zz.do not use
Dryopteris undiff.,zz.do not use
Dryopteris/Thelypteris,zz.do not use
Dryopteris-Typ,zz.do not use
Dryopteris-type,zz.do not use
Dryopteris-type,zz.do not use
Dryopteris-type  ,zz.do not use
Dryopteris-type=Dryopteris,zz.do not use
Drypoteris filix-mas,zz.do not use
Dv‘rgbuske,zz.do not use
Dvärgbuskar,zz.do not use
Dwarf shrubs,zz.do not use
DWARF-SHRUBS,zz.do not use
Dyadosporites,zz.do not use
Dyphasium  (spores),zz.do not use
Dyrkede,zz.do not use
E. distachya,zz.do not use
Ebenus type,zz.do not use
Echantillon,zz.do not use
Echinidinium transparantum,zz.do not use
Echinophora,zz.do not use
Echinops,zz.do not use
Echinops,zz.do not use
Echinops T,zz.do not use
Echinum vulgare,zz.do not use
Echium,zz.do not use
ECHIUM,zz.do not use
Echium,zz.do not use
ECHIUM,zz.do not use
Echium type,zz.do not use
Echium vulgare,zz.do not use
Echium vulgare - blåeld,zz.do not use
Echium/Onosma,zz.do not use
Echium/Onosma,zz.do not use
Echium-type,zz.do not use
Ecol. indiv. Herbs,zz.do not use
Ecol.indiv. Herbs,zz.do not use
Elaeagnus,zz.do not use
Elaeagnus,zz.do not use
Elaeagnus angustifolius,zz.do not use
Elaeagnus macrophylla type,zz.do not use
Elatine,zz.do not use
elatine,zz.do not use
Elatine-type,zz.do not use
Eleagnus,zz.do not use
Eleagnus angustifolia,zz.do not use
Eliminate,zz.do not use
Elodea,zz.do not use
Elodea,zz.do not use
Elsis,zz.do not use
Elymus,Cerealia-t
ELYMUS,Cerealia-t
Elymus-type,Cerealia-t
EMERGENT MACROPHYTES,zz.do not use
Empetraceae,zz.do not use
Empetrum,zz.do not use
empetrum,zz.do not use
EMPETRUM,zz.do not use
Empetrum ,zz.do not use
Empetrum   ,zz.do not use
Empetrum / Ledum,zz.do not use
Empetrum cf. E. nigrum,zz.do not use
Empetrum nigra,zz.do not use
Empetrum nigrum,zz.do not use
EMPETRUM NIGRUM,zz.do not use
Empetrum nigrum,zz.do not use
Empetrum nigrum                         ,zz.do not use
Empetrum nigrum - kråkris,zz.do not use
Empetrum nigrum type,zz.do not use
Empetrum nigrum-type,zz.do not use
Empetrum rå,zz.do not use
Empetrum t.,zz.do not use
Empetrum type,zz.do not use
Empetrum ,zz.do not use
Empetrum/Ledum,zz.do not use
Empetrum_1,zz.do not use
Empetrum_2,zz.do not use
Empetrum_n,zz.do not use
Empetrum_t,zz.do not use
Empetrum-type,zz.do not use
Emphetrum nigrum,zz.do not use
Emphetrum nigrum ,zz.do not use
Encalypta,zz.do not use
Endymiom non scripta,zz.do not use
Endymion-t,zz.do not use
Endymion-type,zz.do not use
Enterophlyctis,zz.do not use
Entophlyctis-typ - svampsporgömme,zz.do not use
Epaisseur (cm),zz.do not use
EPD,zz.do not use
Ephedra,zz.do not use
EPHEDRA,zz.do not use
Ephedra,zz.do not use
EPHEDRA,zz.do not use
EPHEDRA ,zz.do not use
Ephedra ,zz.do not use
Ephedra alata type,zz.do not use
Ephedra cf fragilis,zz.do not use
Ephedra distachia-type,zz.do not use
Ephedra distachya,zz.do not use
EPHEDRA DISTACHYA,zz.do not use
Ephedra distachya,zz.do not use
Ephedra distachya subsp. helvetica-type,zz.do not use
Ephedra distachya T,zz.do not use
EPHEDRA DISTACHYA t.,zz.do not use
Ephedra distachya t. ,zz.do not use
Ephedra distachya type,zz.do not use
EPHEDRA DISTACHYA TYPE,zz.do not use
ephedra distachya type,zz.do not use
Ephedra distachya type,zz.do not use
EPHEDRA DISTACHYA type,zz.do not use
Ephedra distachya-nebrodensis,zz.do not use
Ephedra distachya-t,zz.do not use
EPHEDRA DISTACHYA-T.,zz.do not use
Ephedra distachya-Typ,zz.do not use
Ephedra distachya-type,zz.do not use
Ephedra distachya-type,zz.do not use
Ephedra distachya-type ,zz.do not use
Ephedra distahya,zz.do not use
EPHEDRA FRAG,zz.do not use
Ephedra frag,zz.do not use
Ephedra fragilis,zz.do not use
Ephedra fragilis,zz.do not use
EPHEDRA FRAGILIS,zz.do not use
Ephedra fragilis T,zz.do not use
Ephedra fragilis T,zz.do not use
EPHEDRA FRAGILIS t.,zz.do not use
Ephedra fragilis t. ,zz.do not use
Ephedra fragilis T.                     ,zz.do not use
Ephedra fragilis type,zz.do not use
Ephedra fragilis type,zz.do not use
EPHEDRA FRAGILIS type,zz.do not use
Ephedra fragilis var campylopoda,zz.do not use
Ephedra fragilis-t,zz.do not use
Ephedra fragilis-Typ,zz.do not use
Ephedra fragilis-type,zz.do not use
Ephedra fragilis-type,zz.do not use
Ephedra fragilis-type=Ephedra strobilacea-type,zz.do not use
Ephedra intermedia type,zz.do not use
Ephedra major,zz.do not use
Ephedra major type,zz.do not use
EPHEDRA NEBRODENSIS,zz.do not use
Ephedra sp.,zz.do not use
Ephedra undiff.,zz.do not use
Ephedra__1,zz.do not use
Ephedra_di,zz.do not use
EPHEDRA_DI,zz.do not use
Ephedra_fr,zz.do not use
EPHEDRA_FR,zz.do not use
Ephedraceae,zz.do not use
Epilobium,zz.do not use
epilobium,zz.do not use
EPILOBIUM,zz.do not use
Epilobium,zz.do not use
EPILOBIUM,zz.do not use
Epilobium ,zz.do not use
Epilobium  ,zz.do not use
EPILOBIUM   ,zz.do not use
Epilobium (tetrad),zz.do not use
EPILOBIUM / CIRCAEA,zz.do not use
Epilobium anagallidifolium,zz.do not use
Epilobium angustifolia type,zz.do not use
Epilobium angustifolium,zz.do not use
Epilobium angustifolium rå,zz.do not use
Epilobium angustifolium-typ - mjölkört,zz.do not use
Epilobium angustifolium-type,zz.do not use
Epilobium fleischeri,zz.do not use
Epilobium rå,zz.do not use
Epilobium T,zz.do not use
Epilobium type,zz.do not use
epilobium type,zz.do not use
EPILOBIUM TYPE,zz.do not use
Epilobium undiff.,zz.do not use
Epilobium ,zz.do not use
EPILOBIUM.,zz.do not use
EPILOBIUM/CHAMAENERION,zz.do not use
Epilobium/Chamaenerion-type,zz.do not use
Epilobium_,zz.do not use
Epilobium-type,zz.do not use
Epilobiuum-type,zz.do not use
Epimedium,zz.do not use
Epipactis,zz.do not use
EPIPACTIS,zz.do not use
Epipactis,zz.do not use
Epipactis ,zz.do not use
Epipactis palustris,zz.do not use
Epipactis-Gruppe,zz.do not use
Eq.+PS,zz.do not use
Eq+PS,zz.do not use
Equesetum,zz.do not use
Equicetum,zz.do not use
Equisetaceae,zz.do not use
Equisetu,zz.do not use
Equisetum,zz.do not use
equisetum,zz.do not use
EQUISETUM,zz.do not use
Equisetum,zz.do not use
EQUISETUM,zz.do not use
EQUISETUM ,zz.do not use
Equisetum ,zz.do not use
Equisetum  ,zz.do not use
EQUISETUM   ,zz.do not use
Equisetum                               ,zz.do not use
Equisetum - fräken,zz.do not use
EQUISETUM SPP,zz.do not use
Equisetum ,zz.do not use
Eranthis hiemalis,zz.do not use
Eranthis hyemalis,zz.do not use
Eremurus,zz.do not use
Erica,Ericaceae
Erica,Ericaceae
ERICA,Ericaceae
Erica                                   ,Ericaceae
Erica arborea,Ericaceae
ERICA ARBOREA,Ericaceae
Erica arborea,Ericaceae
Erica arborea-type,Ericaceae
Erica cf.arborea/multiflora,Ericaceae
Erica cilaris,Ericaceae
Erica ciliaris,Ericaceae
Erica ciliaris-type,Ericaceae
Erica ciliaris-type,Ericaceae
Erica cinerea,Ericaceae
Erica cinerea,Ericaceae
Erica cinerea/E. tetralix,Ericaceae
Erica multiflora type,Ericaceae
Erica spp,Ericaceae
Erica tetralix,Ericaceae
ERICA TETRALIX,Ericaceae
Erica tetralix-type,Ericaceae
Erica tetralix-type,Ericaceae
Erica type,Ericaceae
erica typeetralix type,Ericaceae
Erica umbellata,Ericaceae
Erica: seed epidermis,Ericaceae
Erica_ci_1,Ericaceae
Erica_cili,Ericaceae
Erica_cine,Ericaceae
Erica_te_1,Ericaceae
ERICA_TET,Ericaceae
Erica_tetr,Ericaceae
Ericace,Ericaceae
Ericacea,Ericaceae
Ericaceae,Ericaceae
ERICACEAE,Ericaceae
ericaceae,Ericaceae
Ericaceae,Ericaceae
ERICACEAE,Ericaceae
Ericaceae ,Ericaceae
Ericaceae  ,Ericaceae
Ericaceae   ,Ericaceae
ERICACEAE   ,Ericaceae
Ericaceae cf. \iVaccinium\i,Ericaceae
"Ericaceae cf. \iVaccinium\i - cowberry, bilberry, etc.",Ericaceae
Ericaceae cf. \iVaccinuim\i,Ericaceae
Ericaceae cf. Ledum - pors,Ericaceae
Ericaceae cf. Vaccinium,Ericaceae
"Ericaceae cf. Vaccinium - blåbär, lingon m.fl.",Ericaceae
"Ericaceae cf. Vaccinium - blåbär, lingon mm",Ericaceae
Ericaceae odiff. (obest. ljungväxter),Ericaceae
Ericaceae ospec. - obest. ljungväxter,Ericaceae
Ericaceae p.p.,Ericaceae
Ericaceae pp.,Ericaceae
Ericaceae rå,Ericaceae
ERICACEAE SPP,Ericaceae
Ericaceae -t.,Ericaceae
Ericaceae type,Ericaceae
ERICACEAE TYPE,Ericaceae
ericaceae undif,Ericaceae
ericaceae undiff,Ericaceae
Ericaceae undiff,Ericaceae
Ericaceae undiff rå,Ericaceae
Ericaceae undiff.,Ericaceae
ERICACEAE UNDIFF.,Ericaceae
Ericaceae undiff.,Ericaceae
ERICACEAE UNDIFF.   ,Ericaceae
Ericaceae undiff. - unspec. heath family,Ericaceae
Ericaceae undiff. rå,Ericaceae
Ericaceae undifferentiated,Ericaceae
Ericaceae_,Ericaceae
Ericaceae_Empetrum,zz.do not use
Ericaceae_Empetrum (Vaccinium),Ericaceae
Ericaceae= Arbutus unedo,Ericaceae
Ericaceae= Erica cf.arborea/multiflora,Ericaceae
Ericaceae= Vaccinium,Ericaceae
Ericaceae-Empetrum-Gruppe,Ericaceae
Ericaceae-type,Ericaceae
Ericaceae-type  ,Ericaceae
ERICAL_IND,Ericaceae
Ericales,Ericaceae
ericales,Ericaceae
Ericales (tetrad),Ericaceae
Ericales (tetrad),Ericaceae
Ericales (tetrads),Ericaceae
Ericales indet.,Ericaceae
Ericales indeterminata,Ericaceae
Ericales und.,Ericaceae
ericales undiff,Ericaceae
Ericales undiff,Ericaceae
Ericales undiff.,Ericaceae
Ericales undiff.                        ,Ericaceae
Ericales undifferentiated,Ericaceae
Erica-type,Ericaceae
Erica-type,Ericaceae
Erigeron,zz.do not use
Eriocaulon,zz.do not use
Eriocaulon,zz.do not use
Eriophorum,Cyperaceae
Eriophorum angustifolium/vaginatum,Cyperaceae
Eriophorum scheuchzeri,Cyperaceae
Eriophorum -t.,Cyperaceae
Eriophorum-type,Cyperaceae
Erodium,zz.do not use
erodium,zz.do not use
ERODIUM,zz.do not use
Erodium,zz.do not use
ERODIUM,zz.do not use
Erodium cicutarium-type,zz.do not use
Erodium type,zz.do not use
Eryngium,zz.do not use
ERYNGIUM,zz.do not use
Eryngium,zz.do not use
ERYNGIUM CAMP,zz.do not use
Eryngium type,zz.do not use
Eryngium-type,zz.do not use
Erytrina-type,zz.do not use
Espores monoletes,zz.do not use
Espores triletes,zz.do not use
Euastrum ansatum type,zz.do not use
Euastrum bidentatum type,zz.do not use
Eucalyptus,zz.do not use
Eucalyptus,zz.do not use
Eucalyptus calophylla,zz.do not use
Eucalyptus spike (added),zz.do not use
Eucalyptus spike (counted),zz.do not use
Eucalyptus spike (counted),zz.do not use
Euglypha,zz.do not use
Euonymus,zz.do not use
EUONYMUS,zz.do not use
euonymus,zz.do not use
Euonymus,zz.do not use
Euonymus europaeus,zz.do not use
Euonymus europaeus,zz.do not use
Euonymus europaeus - benved,zz.do not use
Euonymus-type,zz.do not use
Eupat,zz.do not use
Eupatorium,zz.do not use
EUPATORIUM T,zz.do not use
Euphorbia,zz.do not use
EUPHORBIA,zz.do not use
euphorbia,zz.do not use
Euphorbia,zz.do not use
EUPHORBIA,zz.do not use
Euphorbia ,zz.do not use
Euphorbia - törel,zz.do not use
Euphorbia cf helioscopia,zz.do not use
Euphorbia t. ,zz.do not use
Euphorbia type,zz.do not use
Euphorbia undiff.,zz.do not use
Euphorbia undiff.,zz.do not use
Euphorbiac,zz.do not use
euphorbiacae,zz.do not use
Euphorbiaceae,zz.do not use
EUPHORBIACEAE,zz.do not use
Euphorbiaceae,zz.do not use
Euphorbiaceae indeterminata,zz.do not use
Euphorbiaceae indeterminata ,zz.do not use
Euphrasia,zz.do not use
Euphrasia,zz.do not use
Euphrasia type,zz.do not use
Euphrasia-type,zz.do not use
Eupotamogeton,zz.do not use
EU-POTAMOGETON,zz.do not use
Eurumex,zz.do not use
EU-RUMEX,zz.do not use
EU-RUMEX TYPE,zz.do not use
Euvonymus,zz.do not use
Evergreen QUERCUS,Quercus evergreen
evergreen Quercus,Quercus evergreen
Evergreen Quercus,Quercus evergreen
EVONYMUS,zz.do not use
Evonymus,zz.do not use
Exclosos,zz.do not use
Exotic concentration,zz.do not use
Exotic grains,zz.do not use
Exotic grains,zz.do not use
exotics,zz.do not use
F. Genista t.,zz.do not use
F. ornus,zz.do not use
Fabac,zz.do not use
Fabaceae,zz.do not use
FABACEAE,zz.do not use
fabaceae,zz.do not use
Fabaceae,zz.do not use
FABACEAE,zz.do not use
Fabaceae ,zz.do not use
Fabaceae                                ,zz.do not use
Fabaceae – tauri?ziežu (pupu) dz.,zz.do not use
Fabaceae cf Astragalus ,zz.do not use
Fabaceae cf Lathyrus ,zz.do not use
Fabaceae cf. Cytisus,zz.do not use
Fabaceae indet.,zz.do not use
Fabaceae indeterminata,zz.do not use
Fabaceae indeterminata ,zz.do not use
Fabaceae Lotus t.,zz.do not use
Fabaceae Lotus type,zz.do not use
Fabaceae odiff. (obest. ärtväxter),zz.do not use
Fabaceae Ononis type,zz.do not use
Fabaceae ospec. - obest. ärtväxter,zz.do not use
Fabaceae p.p.,zz.do not use
Fabaceae rå,zz.do not use
Fabaceae sp.,zz.do not use
Fabaceae subf. Faboideae,zz.do not use
Fabaceae Trifolium type,zz.do not use
Fabaceae type 2,zz.do not use
Fabaceae type astralagus,zz.do not use
Fabaceae type lotus,zz.do not use
Fabaceae type lotus ,zz.do not use
Fabaceae type ononis,zz.do not use
Fabaceae type trifolium,zz.do not use
FABACEAE type Ulex,zz.do not use
Fabaceae type vicia,zz.do not use
Fabaceae type vicia ,zz.do not use
fabaceae undiff,zz.do not use
Fabaceae undiff,zz.do not use
Fabaceae undiff.,zz.do not use
FABACEAE UNDIFF.,zz.do not use
Fabaceae undiff.,zz.do not use
Fabaceae undiff. - unspec. bean family,zz.do not use
Fabaceae undiff. rå,zz.do not use
Fabaceae undiff. Rå,zz.do not use
Fabaceae Vicia  type,zz.do not use
Fabaceae Vicia type,zz.do not use
Fabaceae ,zz.do not use
Fabacée type Lotus,zz.do not use
Fabacée type Ononis,zz.do not use
Fabacée type Trifolium,zz.do not use
Fabacée type Vicia,zz.do not use
Fabaciae,zz.do not use
FagoEscu,zz.do not use
Fagopyrom,zz.do not use
Fagopyrum,zz.do not use
FAGOPYRUM,zz.do not use
Fagopyrum,zz.do not use
Fagopyrum  ,zz.do not use
FAGOPYRUM   ,zz.do not use
Fagopyrum esculentum,zz.do not use
FAGOPYRUM ESCULENTUM,zz.do not use
Fagopyrum esculentum type,zz.do not use
FAGOPYRUM SPP,zz.do not use
Fagopyrum tataricum,zz.do not use
FAGOPYRUM TATARICUM,zz.do not use
Fagopyrum tataricum,zz.do not use
Fagopyrum type,zz.do not use
Fagopyrum_,zz.do not use
Fagus,Fagus sylvatica
FAGUS,Fagus sylvatica
fagus,Fagus sylvatica
Fagus,Fagus sylvatica
FAGUS,Fagus sylvatica
Fagus ,Fagus sylvatica
FAGUS ,Fagus sylvatica
Fagus   ,Fagus sylvatica
FAGUS   ,Fagus sylvatica
Fagus                                   ,Fagus sylvatica
Fagus - bok,Fagus sylvatica
Fagus & Picea,Fagus sylvatica
Fagus orientalis,Fagus sylvatica
Fagus rå,Fagus sylvatica
Fagus silvatica,Fagus sylvatica
Fagus sylv,Fagus sylvatica
Fagus sylvatica,Fagus sylvatica
FAGUS SYLVATICA,Fagus sylvatica
Fagus sylvatica,Fagus sylvatica
Fagus sylvatica ,Fagus sylvatica
Fagus sylvestris,Fagus sylvatica
Fagus ,Fagus sylvatica
FagusSyl,Fagus sylvatica
Falcaria type,zz.do not use
FALCARIA VULG,zz.do not use
Falcaria vulgare-typ - skärblad,zz.do not use
Falcaria vulgaris,zz.do not use
Falcaria-type,zz.do not use
Falcaria-type,zz.do not use
FalcaVul,zz.do not use
Fallopia,zz.do not use
FALLOPIA,zz.do not use
Fallopia,zz.do not use
Fallopia conv. T,zz.do not use
Fallopia convolvulus,zz.do not use
Fallopia convolvulus rå,zz.do not use
Fallopia convolvulus T.,zz.do not use
Fallopia convolvulus -t.,zz.do not use
Fallopia convolvulus type,zz.do not use
Fallopia convolvulus-type,zz.do not use
Fallopia convolvulvus,zz.do not use
Fallopia convolvulvus ,zz.do not use
Fedia cornucopiae,zz.do not use
fern spores,zz.do not use
"Fern spores, undiff",zz.do not use
Ferns & Mosses,zz.do not use
Ferula,zz.do not use
Ferula type,zz.do not use
Festuca-type,Poaceae
FICARIA,zz.do not use
FICARIA_T,zz.do not use
Ficus,zz.do not use
Ficus carica,zz.do not use
Ficus cf.,zz.do not use
